relationship,source_entity,target_entity,question_code,description
surveyPeriodContext,HouseholdResponsibilities,SurveyPeriod,IRIMPHHLDM,"Describes the context in terms of a specific survey period, such as the past 30 days."
impacts,EmotionalProblems,HouseholdResponsibilities,IIIMPHHLDM,Indicates that emotional problems affect the ability to manage household responsibilities.
hasImpairmentEffect,Impairment,WorkResponsibility,IRIMPRESP,Relates impairment to difficulty in handling work responsibilities.
hasImpairmentEffect,Impairment,SocialFunctioning,IMPSOC,Relates impairment to difficulty in social functioning.
hasImpairmentEffect,Impairment,HouseholdResponsibility,"IMPHHLD, IMPHHLDM",Relates impairment to difficulty in household responsibilities.
hasImpairmentEffect,Impairment,MemoryIssues,IMPREMEM,Relates impairment to difficulty in remembering things.
hasImpairmentEffect,Impairment,EconomicStatus,"IMPGOUT, IMPGOUTM",Relates impairment to impact on economic status and activities outside the home.
hasTimePeriod,WorkResponsibilityDifficulty,TimePeriod,IIIMPRESP,Relates the difficulty in managing work responsibilities to the specified time periods.
isAssociatedWith,WorkResponsibilityDifficulty,IMPCONCN,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty concentrating.
isAssociatedWith,WorkResponsibilityDifficulty,IMPGOUT,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty going out of the house alone.
isAssociatedWith,WorkResponsibilityDifficulty,IMPGOUTM,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty going out of the house alone (monthly frequency).
isAssociatedWith,WorkResponsibilityDifficulty,IMPHHLD,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty managing household responsibilities.
isAssociatedWith,WorkResponsibilityDifficulty,IMPHHLDM,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty managing household responsibilities (monthly frequency).
isAssociatedWith,WorkResponsibilityDifficulty,IMPPEOP,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty interacting with people.
isAssociatedWith,WorkResponsibilityDifficulty,IMPPEOPM,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty interacting with people (monthly frequency).
isAssociatedWith,WorkResponsibilityDifficulty,IMPREMEM,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty remembering things.
isAssociatedWith,WorkResponsibilityDifficulty,IMPSOC,IIIMPRESP,Difficulty in managing work responsibilities associated with difficulty in social situations.
affectsAttendanceAt,EmotionalProblems,Work,IRIMPRESPM,Emotional problems affect attendance at work.
affectsAttendanceAt,EmotionalProblems,School,IRIMPRESPM,Emotional problems affect attendance at school.
hasImpact,EmotionalProblems,Impact,IRIMPRESPM,Emotional problems have an impact on daily activities.
relatedTo,EmotionalProblems,MentalHealth,IRIMPRESPM,Emotional problems are related to mental health status.
affects,EmotionalProblem,WorkOrSchool,IIIMPRESPM,Indicates that emotional or mental health problems have an impact on the respondent's ability to work or attend school.
hasReportedDifficulty,Respondent,DailyWorkDifficulty,IRIMPWORK,Relates a respondent to their reported difficulty in doing daily work in the past 12 months.
includesDifficultyIn,DailyWorkDifficulty,ConcentrationDifficulty,IRIMPWORK,Indicates that difficulty in daily work includes difficulty in concentration.
includesDifficultyIn,DailyWorkDifficulty,GoingOutDifficulty,IRIMPWORK,Indicates that difficulty in daily work includes difficulty in going out.
includesDifficultyIn,DailyWorkDifficulty,HouseholdDifficulty,IRIMPWORK,Indicates that difficulty in daily work includes difficulty in managing household activities.
includesDifficultyIn,DailyWorkDifficulty,InterpersonalDifficulty,IRIMPWORK,Indicates that difficulty in daily work includes difficulty in interacting with people.
includesDifficultyIn,DailyWorkDifficulty,MemorizationDifficulty,IRIMPWORK,Indicates that difficulty in daily work includes difficulty in remembering things.
includesDifficultyIn,DailyWorkDifficulty,SocialRoleDifficulty,IRIMPWORK,Indicates that difficulty in daily work includes difficulty in fulfilling social responsibilities.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnWork,IIIMPWORK,Describes how the difficulty experienced affects daily work.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnConcentration,IMPCONCN,Describes how the difficulty experienced affects concentration.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnGoingOut,IMPGOUT,Describes how the difficulty experienced affects the ability to go out.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnHousehold,IMPHHLD,Describes how the difficulty experienced affects household activities.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnPeople,IMPPEOP,Describes how the difficulty experienced affects social interactions with people.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnMemory,IMPREMEM,Describes how the difficulty experienced affects memory.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnResponse,IMPRESP,Describes how the difficulty experienced affects response times or ability to respond.
hasImpactOn,DifficultyDoingDailyWork,ImpactOnSocializing,IMPSOC,Describes how the difficulty experienced affects socializing.
hasTimePeriod,DifficultyDoingDailyWork,TimePeriod,IIIMPWORK,Associates the difficulty experienced with the specified time period (past 12 months).
related_to,Serious_Thoughts_of_Suicide,Mental_Health,IRSUICTHNK,Adult seriously thought about killing self in the past year is related to mental health issues.
hasImplication,AdultSeriousThoughtAboutKillingSelfPastYear,ImplicationsOnConcentration,IISUICTHNK,Indicates that having serious thoughts about killing oneself has implications on the respondent's concentration.
hasImplication,AdultSeriousThoughtAboutKillingSelfPastYear,ImplicationsOnGoingOut,IISUICTHNK,Indicates that having serious thoughts about killing oneself has implications on the respondent's ability to go out.
hasImplication,AdultSeriousThoughtAboutKillingSelfPastYear,ImplicationsOnHousehold,IISUICTHNK,Indicates that having serious thoughts about killing oneself has implications on the respondent's household.
hasImplication,AdultSeriousThoughtAboutKillingSelfPastYear,ImplicationsOnPeople,IISUICTHNK,Indicates that having serious thoughts about killing oneself has implications on the respondent's relationships with people.
hasImplication,AdultSeriousThoughtAboutKillingSelfPastYear,ImplicationsOnRememberingThings,IISUICTHNK,Indicates that having serious thoughts about killing oneself has implications on the respondent's ability to remember things.
hasImplication,AdultSeriousThoughtAboutKillingSelfPastYear,ImplicationsOnResponsibility,IISUICTHNK,Indicates that having serious thoughts about killing oneself has implications on the respondent's sense of responsibility.
hasImplication,AdultSeriousThoughtAboutKillingSelfPastYear,ImplicationsOnSocialActivities,IISUICTHNK,Indicates that having serious thoughts about killing oneself has implications on the respondent's social activities.
isAffectedBy,AdultThoughtOfKillingSelf,COVID-19,IRCOSUITHNK,The thought of killing self is influenced by the COVID-19 pandemic.
isPartOf,AdultThoughtOfKillingSelf,MentalHealth,IRCOSUITHNK,Thought of killing self is a component of broader mental health issues.
hasImpact,COVID-19,IMPACT_OF_COVID-19,IICOSUITHNK,"The influence of COVID-19 includes multiple aspects like mental health, substance abuse, economic status, and social interactions"
resultsIn,IMPACT_OF_COVID-19,ADULT_THOUGHT_OF_KILLING_SELF,IICOSUITHNK,The impact of COVID-19 resulting in thoughts of killing self in adults
affects,ECONOMIC_IMPACT,SUBSTANCE_ABUSE_IMPACT,IICOSUITHNK,Economic impact affecting substance abuse
affects,SOCIAL_IMPACT,MENTAL_HEALTH_IMPACT,IICOSUITHNK,Social impact affecting mental health
affects,MENTAL_HEALTH_IMPACT,SUBSTANCE_ABUSE_IMPACT,IICOSUITHNK,Mental health impact affecting substance abuse
hasPlanToKillSelf,Adult,SuicidalBehavior,IRSUIPLANYR,Relates an adult to whether they made plans to kill themselves in the past year.
occurredDuring,SuicidalBehavior,TimeFrame,IRSUIPLANYR,Relates the suicidal behavior to the time frame of the past year.
hasMadePlans,Adult,Plan,IISUIPLANYR,An adult who has made plans to kill themselves.
during,Plan,TimePeriod,IISUIPLANYR,The plan to kill oneself was made during the past year.
hasImpact,Self-harm,Impact,IISUIPLANYR,The act of planning to kill oneself has various impacts.
includes,Impact,"SocialImpact, HouseholdImpact, PersonalImpact","IMPCONCN, IMPGOUT, IMPGOUTM, IMPHHLD, IMPHHLDM, IMPPEOP, IMPPEOPM, IMPREMEM, IMPRESP, IMPRESPM, IMPSOC","The impacts related to social interactions, household dynamics, and personal effects."
isRelatedTo,MentalHealthIssue,COVID19,IRCOSUIPLNYR,Mental health issues related to the COVID-19 pandemic
hasContext,PlanToKillSelf,COVID19,IRCOSUIPLNYR,Plans to commit suicide influenced by the context of COVID-19
hasTimePeriod,PlanToKillSelf,TimePeriod,IRCOSUIPLNYR,Plans to commit suicide occurred within the past year
madeBy,PlanToKillSelf,Adult,IRCOSUIPLNYR,Plans to commit suicide were made by an adult
madePlans,Adult,Plans,IICOSUIPLNYR,The adult made plans
associatedWith,Plans,Self-Harm,IICOSUIPLNYR,The plans are associated with self-harm
dueTo,Self-Harm,COVID-19,IICOSUIPLNYR,Self-harm due to the COVID-19 pandemic
during,Plans,Past Year,IICOSUIPLNYR,The plans were made during the past year
hasImpact,COVID-19,Impact,IICOSUIPLNYR,COVID-19 has had an impact
experiences,Adult,SuicideAttempt,IRSUITRYYR,Relates an adult to their experience of attempting suicide in the past year.
hasMentalHealthIssue,Adult,MentalHealthIssue,IRSUITRYYR,Relates an adult to having mental health issues.
reportedBy,SuicideAttempt,Respondent,IISUITRYYR,Relates the suicide attempt data to the respondent who reported it.
occurredIn,SuicideAttempt,Year,IISUITRYYR,Links the suicide attempt event to the year it was reported to have occurred.
affects,SuicideAttempt,MentalHealthStatus,IISUITRYYR,Indicates that a suicide attempt has impact on the respondent's mental health status.
hasImpactReason,SelfHarm,COVID-19,IRCOSUITRYYR,Relates the act of self-harm to COVID-19 as the influencing factor.
attemptedBy,SelfHarm,Adult,IRCOSUITRYYR,Indicates that the self-harm was attempted by an adult.
isCausedBy,SelfHarm,MentalHealthImpact,IRCOSUITRYYR,Relates the act of self-harm to the mental health impact of the COVID-19 pandemic.
isAffectedBy,SelfHarmAttempt,COVID19Impact,IICOSUITRYYR,Self-harm attempts affected by the impact of COVID-19.
involves,SelfHarmAttempt,Adult,IICOSUITRYYR,Self-harm attempt involves an adult respondent.
isAssociatedWith,SelfHarmAttempt,MentalHealthIssue,IICOSUITRYYR,Self-harm attempts are associated with mental health issues.
contains,SurveyQuestion,SelfHarmAttempt,IICOSUITRYYR,The survey question contains information about self-harm attempts.
measures,SurveyVariable,PsychologicalDistress,KSSLR6MON,The variable KSSLR6MON measures the level of psychological distress based on the K6 scale.
hasComponentSymptom,PsychologicalDistress,Symptom,IRDSTNRV30,Feeling nervous is a component symptom of psychological distress.
hasComponentSymptom,PsychologicalDistress,Symptom,IRDSTHOP30,Feeling hopeless is a component symptom of psychological distress.
hasComponentSymptom,PsychologicalDistress,Symptom,IRDSTRST30,Feeling restless or fidgety is a component symptom of psychological distress.
hasComponentSymptom,PsychologicalDistress,Symptom,IRDSTCHR30,Feeling so sad or depressed that nothing could cheer you up is a component symptom of psychological distress.
hasComponentSymptom,PsychologicalDistress,Symptom,IRDSTEFF30,Feeling that everything was an effort is a component symptom of psychological distress.
hasComponentSymptom,PsychologicalDistress,Symptom,IRDSTNGD30,"Feeling down on yourself, no good, or worthless is a component symptom of psychological distress."
isPartOf,SurveyVariable,Survey,KSSLR6MON,The variable KSSLR6MON is part of the NSDUH 2022 Survey.
hasSurveyPeriod,Survey,SurveyPeriod,KSSLR6MON,The NSDUH 2022 Survey includes a variable KSSLR6MON that relates to the past 30 days period.
hasSymptom,PsychologicalDistressScore,FeelingNervous,SPDPSTMON,Feeling Nervous is one of the six symptoms used to calculate the total distress score.
hasSymptom,PsychologicalDistressScore,FeelingHopeless,SPDPSTMON,Feeling Hopeless is one of the six symptoms used to calculate the total distress score.
hasSymptom,PsychologicalDistressScore,FeelingRestlessOrFidgety,SPDPSTMON,Feeling Restless or Fidgety is one of the six symptoms used to calculate the total distress score.
hasSymptom,PsychologicalDistressScore,FeelingSadOrDepressed,SPDPSTMON,Feeling So Sad or Depressed is one of the six symptoms used to calculate the total distress score.
