entity,question_code,description
ReligiousServicesAttendance,RLGATTD,Number of times youth attended religious services in the past year.
YouthActivityParticipation,RLGATTD,"Participation in different types of activities such as school-based, community-based, church or faith-based, or other activities."
ResponseCategory,RLGATTD,"Categorization of responses based on the number and type of activities participated in (None or one activity, Two or more activities)."
ReligiousBeliefs,RLGIMPT,Respondent's assessment of how very important religious beliefs are in their life.
SchoolBasedActivities,YESCHACT,Participation in school-based activities.
CommunityBasedActivities,YECOMACT,Participation in community-based activities.
FaithBasedActivities,YEFAIACT,Participation in church or faith-based activities.
OtherActivities,YEOTHACT,Participation in other specified activities.
YouthActivityParticipation,Combined Question,A combined variable representing participation in two or more types of youth activities.
YouthRespondent,N/A,Respondents aged 12 or older participating in the NSDUH survey.
SystemMissing,N/A,Youth respondents who did not answer two or more of the activity questions with a 'yes' or 'no' response.
Religious Beliefs,RLGDCSN,Represents the influence of religious beliefs on an individual's life decisions.
Youth Activities,RLGDCSN,"Represents the various activities (school-based, community-based, church/faith-based, or other activities) that youth participate in."
School-Based Activity,YESCHACT,Represents participation in school-based activities by youth.
Community-Based Activity,YECOMACT,Represents participation in community-based activities by youth.
Church/Faith-Based Activity,YEFAIACT,Represents participation in church or faith-based activities by youth.
Other Activities,YEOTHACT,"Represents participation in activities other than school-based, community-based, or church/faith-based activities by youth."
Activity Participation Level,RLGDCSN,"Represents the level of participation in activities, categorized as 'None or one activity' or 'Two or more activities'."
ReligiousBeliefs,RLGFRND,Importance of friends sharing the same religious beliefs.
YouthActivity,RLGFRND,"An activity participated in by youth, categorized into school-based, community-based, church or faith-based, or other activities."
ParticipationLevel,RLGFRND,"The level of participation in youth activities, categorized as 'Two or more activities' or 'None or one activity'."
ChurchOrFaithBasedActivity,RLGFRND,Participation in activities that are church or faith-based.
CommunityBasedActivity,RLGFRND,Participation in activities that are community-based.
YouthSuicideIdeation,YUSUITHKYR,Information related to youth seriously thinking about killing themselves in the past year.
MentalHealth,YUSUITHKYR,General category involving mental health issues.
Respondent,YUSUITHKYR,The individual providing responses to the survey.
YouthSuicidalIdeation,YUCOSUITHK2,Youth suicidal ideation due to COVID-19 pandemic in the past year.
COVID-19Impact,YUCOSUITHK2,Impact of the COVID-19 pandemic on mental health.
Youth,YUCOSUITHK2,Respondent aged 12 or older.
SuicidalThoughts,YUCOSUITHK2,Serious thoughts about killing oneself.
YouthSuicidePlans,YUSUIPLNYR,Indicates whether the youth made plans to kill themselves in the past year.
YouthSuicideIdeationScreen,YUSUIPLNYR,Screening tool used to gather information on youth suicidal ideation.
Youth,YUCOSUIPLN2,"Refers to the civilian, noninstitutionalized population aged 12 or older."
SuicidalIdeation,YUCOSUIPLN2,Refers to the thoughts or plans about committing suicide.
COVID-19,YUCOSUIPLN2,Coronavirus disease (COVID-19) pandemic situation affecting the population.
PastYear,YUCOSUIPLN2,Timeframe referring to the past 12 months.
MentalHealthStatus,DSTNRV30,The frequency of feeling nervous in the past 30 days.
Respondent,DSTNRV30,The interviewee or participant in the survey.
SurveyPeriod,DSTNRV30,The time frame of the last 30 days during which feelings are reported.
Survey,DSTNRV30,The NSDUH survey being conducted.
Hopelessness,DSTHOP30,Frequency of feeling hopeless over the past 30 days.
TimePeriod,DSTHOP30,The past 30 days.
MentalHealth,DSTHOP30,General category for mental health-related questions.
RestlessnessOrFidgety,DSTRST30,Frequency of feeling restless or fidgety in the past 30 days.
Respondent,DSTRST30,Person answering the survey.
TimePeriod,DSTRST30,The past 30 days.
EmotionalState,DSTCHR30,Sadness or depression experienced by the respondent.
Frequency,DSTCHR30,How often the emotional state is experienced.
TimePeriod,DSTCHR30,The time frame during which the emotional state is assessed (past 30 days).
Respondent,DSTCHR30,The individual providing the survey information.
EmotionalState,DSTEFF30,Feeling that everything is an effort.
TimePeriod,DSTEFF30,Past 30 days.
EmotionalState,DSTNGD30,"The state of feeling down, no good, or worthless."
TimePeriod,DSTNGD30,"The time period during which the emotional state is queried, specifically the past 30 days."
Frequency,DSTNGD30,"The frequency of occurrences of feeling down, no good, or worthless."
Feeling,DSTWORST,"Describes the respondent's emotional state such as depression, anxiety, or emotional stress."
TimePeriod,DSTWORST,Describes the time frame of the past 12 months and the past 30 days.
Respondent,DSTWORST,The individual responding to the survey.
EmotionState,DSTNRV12,The state of feeling nervous.
WorstMonth,DSTNRV12,"One month in the past 12 months when the respondent was the most depressed, anxious, or emotionally stressed."
Frequency,DSTNRV12,The frequency of feeling nervous during the worst month.
Emotional State,,"Describes the emotional state, specifically the feeling of hopelessness, experienced by the respondent."
Frequency,,Indicates how often the emotional state (feeling hopeless) was experienced in the worst emotional month.
Worst Emotional Month,,Refers to the month when the respondent felt emotionally at their worst.
EmotionalState,DSTRST12,Worst emotional month
FrequencyOfRestlessness,DSTRST12,Frequency of feeling restless or fidgety
Respondent,DSTRST12,Person answering the survey
EmotionalState,DSTCHR12,State of feeling sad or depressed during the worst emotional month.
Frequency,DSTCHR12,Frequency of feeling so sad or depressed that nothing could cheer you up.
SurveyRespondent,DSTCHR12,Individual responding to the survey.
WorstMonth,DSTCHR12,The month when the respondent was at their worst emotionally.
Emotion,DSTEFF12,The emotional state of feeling that everything was an effort.
TimePeriod,DSTEFF12,The period when the respondent was at their worst emotionally.
Frequency,DSTEFF12,How often the respondent felt that everything was an effort.
EmotionalState,DSTNGD12,"Frequency of feeling down on oneself, no good, or worthless."
WorstMonth,DSTNGD12,The specific month when the respondent felt at their worst emotionally.
MentalHealthInterference,IMPREMEM,Mental health interference with daily activities.
DifficultyRemembering,IMPREMEM,Difficulty remembering to do necessary things.
TimePeriodOneMonth,IMPREMEM,One month period in the past 12 months when interference was most severe.
MentalHealthInterference,IMPCONCN,"During that one month when your emotions, nerves or mental health interfered most with your daily activities."
DifficultyConcentrating,IMPCONCN,Difficulty concentrating on doing something important when other things were going on around.
DailyActivities,IMPCONCN,Daily activities of the respondent.
Emotion,IMPGOUT,"Emotions, nerves, or mental health status of the respondent in the past 12 months."
DailyActivities,IMPGOUT,Daily activities of the respondent.
Difficulty,IMPGOUT,Difficulty experienced by the respondent in going out of the house and getting around on their own.
TimePeriod,IMPGOUT,One month period in the past 12 months when mental health interfered most.
Emotional_Problems,IMPGOUTM,"Problems with emotions, nerves, or mental health."
House_Leaving_Ability,IMPGOUTM,Ability or inability to leave the house on their own.
Respondent,IMPGOUTM,Individual who is reporting.
EmotionInterference,IMPPEOP,"When emotions, nerves, or mental health interfere with daily activities."
DifficultyDealingWithStrangers,IMPPEOP,Difficulty experienced when dealing with people not known well.
SurveyPeriod,IMPPEOP,One month in the past 12 months.
Emotional_Problems,IMPPEOPM,"Problems related to emotions, nerves, or mental health."
Interactions_With_Strangers,IMPPEOPM,Dealing with people you did not know well.
Mental_Health,IMPPEOPM,Overall mental health condition of the respondent.
Respondent,IMPPEOPM,Individual answering the survey question.
MentalHealthInterference,IMPSOC,"Interference of emotions, nerves, or mental health with daily activities."
SocialActivitiesDifficulty,IMPSOC,Difficulty participating in social activities like visiting friends or going to parties.
SurveyRespondent,IMPSOC,An individual taking the NSDUH survey.
SurveyPeriod,IMPSOC,The one month when mental health had the most interference.
Emotion,IMPSOCM,"Problems with emotions, nerves, or mental health affecting social participation"
MentalHealth,IMPSOCM,Mental health problems
SocialActivity,IMPSOCM,Participation in social activities
EmotionalDifficulty,IMPHHLD,"Difficulty due to emotions, nerves, or mental health issues."
HouseholdResponsibilities,IMPHHLD,Tasks and duties related to managing a household.
TimePeriod,IMPHHLD,One month during the past 12 months.
EmotionalProblems,IMPHHLDM,"Problems with emotions, nerves, or mental health."
HouseholdResponsibilities,IMPHHLDM,Tasks related to managing and maintaining a household.
Respondent,IMPHHLDM,Individual who answers the survey.
MentalHealthInterference,IMPRESP,"Interference of emotions, nerves, or mental health with daily activities in the past 12 months."
WorkDifficulty,IMPRESP,Difficulty in taking care of work-related responsibilities.
SchoolDifficulty,IMPRESP,Difficulty in taking care of school-related responsibilities.
SurveyPeriod,IMPRESP,One month period in the past 12 months when mental health interfered most with daily activities.
Question,IMPRESPM,"Did problems with your emotions, nerves, or mental health keep you from working or going to school?"
EmotionalProblems,IMPRESPM,"Problems with emotions, nerves, or mental health."
Activity,IMPRESPM,Engagement in work or school activities.
Question,IMPWORK,Difficulty doing daily work in one month over the past 12 months.
Respondent,,"A civilian, noninstitutionalized individual aged 12 or older in the United States."
Mental_Health_Issue,,"Emotions, nerves, or mental health problems interfering with daily activities."
Daily_Activities,,Basic tasks and responsibilities respondents typically engage in.
Difficulty_Level,,The extent to which mental health issues disrupted daily work.
DifficultiesDuration,IMPWEEKS,Number of weeks having difficulties due to mental health in the past 12 months.
MentalHealth,IMPWEEKS,"Emotions, nerves, or mental health issues."
Respondent,IMPWEEKS,Person participating in the survey.
Survey,IMPWEEKS,NSDUH survey.
DifficultiesFrequency,IMPDYFRQ,Frequency of difficulties experienced in a week.
Week,IMPDYFRQ,Unit of time used to measure how often difficulties occur.
